state_abbrev,state_name,region,,,
AL,Alabama,Southeast,,,
AK,Alaska,Other,,,
AZ,Arizona,Southwest,,,
AR,Arkansas,Southeast,,,
CA,California,Pacific,,,
CO,Colorado,Mountain,,,
CT,Connecticut,New England,,,
DE,Delaware,Mid-Atlantic,,,
DC,District of Columbia,Appalachian,,,
FL,Florida,Southeast,,,
GA,Georgia,Southeast,,,
HI,Hawaii,Other,,,
ID,Idaho,Mountain,,,
IL,Illinois,Midwest,,,
IN,Indiana,Midwest,,,
IA,Iowa,Heartland,,,
KS,Kansas,Heartland,,,
KY,Kentucky,Appalachian,,,
LA,Louisiana,Southeast,,,
ME,Maine,New England,,,
MD,Maryland,Mid-Atlantic,,,
MA,Massachusetts,New England,,,
MI,Michigan,Midwest,,,
MN,Minnesota,Heartland,,,
MS,Mississippi,Southeast,,,
MO,Missouri,Heartland,,,
MT,Montana,Mountain,,,
NE,Nebraska,Heartland,,,
NV,Nevada,Mountain,,,
NH,New Hampshire,New England,,,
NJ,New Jersey,Mid-Atlantic,,,
NM,New Mexico,Southwest,,,
NY,New York,Mid-Atlantic,,,
NC,North Carolina,Appalachian,,,
ND,North Dakota,Heartland,,,
OH,Ohio,Midwest,,,
OK,Oklahoma,Southwest,,,
OR,Oregon,Pacific,,,
PA,Pennsylvania,Mid-Atlantic,,,
RI,Rhode Island,New England,,,
SC,South Carolina,Southeast,,,
SD,South Dakota,Heartland,,,
TN,Tennessee,Appalachian,,,
TX,Texas,Southwest,,,
UT,Utah,Mountain,,,
VT,Vermont,New England,,,
VA,Virginia,Appalachian,,,
WA,Washington,Pacific,,,
WV,West Virgina,Appalachian,,,
WI,Wisconsin,Midwest,,,
WY,Wyoming,Mountain,,,
,,,,,